Year_Recorded,Month_Recorded,Price_Aluminium_per_Ton,Price_Tin_per_Ounce,Price_Copper_per_Ton,Price_Iron_per_Ounce,Price_Steel_per_Ton,Inflation_Rate_Percentage,Aluminium_Price_Inflation_Adjusted,Tin_Price_Inflation_Adjusted,Copper_Price_Inflation_Adjusted,Iron_Price_Inflation_Adjusted,Steel_Price_Inflation_Adjusted,Price_Chromium_Adjusted
2023,Dec,1138.66,3127.17,29.36,3426.09,1597.89,860.67,4158.09,3952.44,4254.7,4334.14,1655.83,310.01
1991,Jun,964.98,784.58,3343.7,3319.03,2237.48,3703.62,3065.19,1268.13,13.62,2545.33,3908.95,2714.52
2010,Nov,3299.85,1039.95,378.89,2549.7043023255815,397.82,942.96,4039.16,163.65,3757.77,723.26,889.47,1991.21
2000,Jun,2994.87,228.98,388.6,2554.86,3901.65,4399.03,2243.56,231.22,4338.5,2568.1679128440364,202.47,4772.84
2013,Jan,3209.33,4504.38,3217.77,2549.7043023255815,1955.55,885.67,2802.86,2927.23,2791.09,4748.65,1689.0,1391.7
2020,Feb,2575.68,3866.75,2372.58,2946.34,3004.78,4191.4,1478.4,3220.56,4668.02,4258.22,594.88,1518.86
2011,Aug,3718.06,3773.36,4547.98,3433.39,3296.41,493.37,838.81,4283.46,1929.12,289.66,1873.11,3915.5
2012,May,178.46,1319.58,845.04,1891.15,4986.46,466.92,4950.28,1400.38,4709.75,3370.67,861.06,4106.97
2010,Jan,1713.08,728.39,1455.65,3029.19,4861.69,2752.32,1404.3,1551.63,736.25,4983.18,4007.14,4584.83
2002,May,1559.47,2645.5,719.52,2292.64,166.89,1272.54,1397.83,4331.06,4898.34,1844.79,1418.23,2464.9593049327354
2024,May,1988.81,423.53,1099.05,3221.12,3594.85,2047.03,153.34,439.23,3731.43,85.3,3656.3,4119.19
2009,Mar,2933.53,782.59,2342.15,2549.7043023255815,400.01,1962.19,1268.61,3823.45,1615.29,211.65,329.48,1589.26
2004,Dec,3647.24,2675.98,820.78,4142.06,3911.42,1569.35,3232.4,1585.44,1283.29,868.84,3277.21,785.73
1994,Jan,3475.63,3293.28,2508.5359800664455,2592.76,2049.01,2071.55,4443.15,4211.52,3008.46,1400.33,341.31,1282.84
2020,Nov,1777.35,3300.17,2803.26,2250.67,2535.4667800453517,604.97,4189.87,1401.87,2169.6,2431.76,2698.31,3034.47
2011,Sep,3478.86,4190.66,3666.78,4307.58,3854.12,342.76,3265.96,2445.19,4115.91,3798.73,1311.84,1384.08
1999,Sep,3755.01,2001.42,4775.92,3662.27,2535.4667800453517,3284.49,3211.36,297.01,1670.63,4594.32,3301.1,3752.15
2023,Apr,676.28,2801.54,65.29,2695.35,1271.74,4043.22,3852.67,885.26,527.04,3590.63,1768.3,3619.78
1991,Sep,1790.19,172.52,456.99,486.51,3192.61,2887.73,1311.28,3037.85,1335.03,3588.0,2198.52,3845.71
1997,Jun,2634.04,210.16,1425.98,4073.11,367.86,936.71,1544.13,1618.33,1733.22,1552.82,1061.39,4896.35
2010,Oct,4448.83,2174.8,1596.8,2564.21,3928.55,2520.34,4779.59,604.66,13.57,1415.5,4098.15,3520.48
2014,Oct,2499.660728699552,1884.7,3583.86,2673.91,3048.92,3885.7,85.08,1256.99,4639.54,1409.3,3910.98,38.43
1991,Jul,4551.77,4333.65,65.65,4462.88,23.89,3589.25,403.08,3568.83,3892.97,2304.73,949.8,2698.86
2011,Aug,3114.73,4019.47,2508.5359800664455,2549.7043023255815,3791.9,3914.97,3827.32,3475.37,3463.21,639.52,1130.72,4595.93
2022,Jul,4809.23,1327.34,3995.5,1163.36,2245.3,2140.85,4503.01,3684.79,779.29,267.68,2875.39,4237.08
2019,Apr,869.08,196.97,1869.79,2356.15,3888.77,3371.34,3350.99,2881.43,2630.4669939305713,2072.36,1529.99,3224.48
1990,Oct,2177.68,4357.05,885.73,3432.84,1433.93,1295.29,2415.06,3607.55,697.97,3290.56,1847.61,3326.75
1991,Jun,4038.15,1808.86,2416.69,3092.4,862.61,824.2,4410.4,519.69,2539.03,637.42,2865.02,1771.78
1991,Jul,2199.09,3949.35,495.8,1166.35,4045.37,1036.66,2593.35,4863.42,1279.17,636.18,564.1,4770.76
2009,Sep,2770.4,2482.9329770992367,2388.3,1936.66,3994.58,4735.44,4460.4,161.85,2408.88,2790.34,2995.87,4514.34
2011,Sep,2359.0,1108.37,2645.46,411.92,4622.69,2237.15,3954.52,2386.56,3464.41,563.58,4534.27,557.93
1999,Mar,2719.73,1607.2,2856.17,561.36,1944.72,4599.13,1636.66,2881.03,730.07,2331.87,4612.54,3115.92
2014,Dec,4931.31,2140.8,1835.61,4172.61,4785.03,2479.4544587352625,2357.51,4616.37,1070.94,2568.1679128440364,2594.76,2464.9593049327354
1998,Jun,4310.17,1558.1,2815.76,3205.84,1488.59,4283.15,3375.32,2083.67,2630.4669939305713,4716.98,4564.81,873.85
2024,Jul,1743.18,1719.4,1821.69,4756.05,4459.6,56.88,4738.12,778.17,4303.5,4569.2,3117.93,2338.79
1997,Jul,4281.03,3391.49,875.52,2549.7043023255815,101.67,4259.89,3752.85,629.82,1476.42,296.4,1013.8,3097.57
2014,May,4907.34,4056.14,88.02,4086.02,89.33,2128.18,1633.22,2117.65,749.0,3271.52,1235.01,4989.57
1995,Sep,3573.95,2886.99,2192.25,2644.42,3060.41,1222.92,319.94,3548.9,841.03,1083.01,2323.7,2130.34
2008,Sep,4040.92,1583.39,3337.19,2549.7043023255815,2980.36,1438.52,2086.26,80.36,4135.21,2568.1679128440364,2958.06,1627.18
2002,May,2639.84,4574.71,3357.98,1729.96,1696.39,4617.86,2439.1788392857147,341.94,4745.22,4238.02,937.87,697.35
1996,Apr,393.46,1865.35,3744.97,2684.55,3595.69,4847.07,2122.24,928.99,4719.16,2528.66,3321.56,4056.71
2002,Nov,548.24,2345.91,2231.67,4012.9,4523.68,1977.8,2692.31,366.54,2630.4669939305713,3838.58,560.65,4725.0
2006,Feb,2499.660728699552,1734.26,2508.5359800664455,3541.56,1248.32,550.96,2216.6,2049.44,2096.38,2022.14,624.87,919.61
1998,Oct,4168.61,2482.9329770992367,3246.66,4551.95,3972.94,4340.62,4349.06,277.75,1661.56,2568.1679128440364,4178.56,4381.15
2006,Oct,1838.63,2321.43,1679.13,1766.4,474.17,2616.88,936.37,2954.49,4435.61,2922.33,3884.48,2164.12
2006,Mar,4661.47,2737.86,3375.24,1455.21,2208.76,1211.54,1581.7,989.44,2929.26,3245.3,3109.14,2944.5
